period,case_prefix,loss_basis,metric,parameter,value_2022_usd,tail_count,headline_supported,declared_years
EVALUATION,i0,unfunded,var,0.98999999999999999,0,10001,True,1000000
EVALUATION,i0,unfunded,tvar,0.98999999999999999,6506069.1975328373,10001,True,1000000
EVALUATION,i0,unfunded,tvar_minus_mean,0.98999999999999999,6441001.9994883118,10001,True,1000000
EVALUATION,i0,unfunded,var,0.995,0,5001,True,1000000
EVALUATION,i0,unfunded,tvar,0.995,13010837.441416899,5001,True,1000000
EVALUATION,i0,unfunded,tvar_minus_mean,0.995,12945770.243372373,5001,True,1000000
EVALUATION,c1,gross,aep_pml,100,0,10000,True,1000000
EVALUATION,c1,gross,aep_pml,250,0,4000,True,1000000
EVALUATION,c1,gross,aep_pml,500,9588988.64585183,2000,True,1000000
EVALUATION,c1,gross,aep_pml,1000,44517133.018210873,1000,True,1000000
EVALUATION,c1,gross,aep_pml,2500,94359579.412989959,400,True,1000000
EVALUATION,c1,gross,aep_pml,5000,131056332.46806256,200,True,1000000
EVALUATION,c1,gross,aep_pml,10000,162691267.37422916,100,True,1000000
EVALUATION,c1,gross,aep_pml,50000,212054871.43557161,20,True,1000000
EVALUATION,c1,gross,aep_pml,100000,236170356.6602934,10,False,1000000
EVALUATION,c1,gross,aep_pml,1000000,265235529.01015943,1,False,1000000
EVALUATION,c1,gross,var,0.98999999999999999,0,10001,True,1000000
EVALUATION,c1,gross,tvar,0.98999999999999999,12371299.431985974,10001,True,1000000
EVALUATION,c1,gross,tvar_minus_mean,0.98999999999999999,12247574.066366682,10001,True,1000000
EVALUATION,c1,gross,var,0.995,0,5001,True,1000000
EVALUATION,c1,gross,tvar,0.995,24740125.098838579,5001,True,1000000
EVALUATION,c1,gross,tvar_minus_mean,0.995,24616399.733219288,5001,True,1000000
EVALUATION,c1,benchmark_retained,aep_pml,100,0,10000,True,1000000
EVALUATION,c1,benchmark_retained,aep_pml,250,0,4000,True,1000000
