case_name,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C2_GODA_ATKINSON09,OCC_10,retained_aep_2500yr_pml_2022_usd,34077380.568739004,19364973.8072026,14712406.761536404,75.97431790000293,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_11,retained_aep_2500yr_pml_2022_usd,18811083.540145442,18811083.540145434,7.4505805969238281e-09,3.9607397314584599e-14,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_12,retained_aep_2500yr_pml_2022_usd,18811083.540145434,18811083.540145434,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_13,retained_aep_2500yr_pml_2022_usd,62985966.744117178,48100316.692113258,14885650.05200392,30.947093648646678,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_14,retained_aep_2500yr_pml_2022_usd,47812543.505373098,47812543.505373098,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_15,retained_aep_2500yr_pml_2022_usd,47812543.505373098,47812543.505373098,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_01,retained_tvar_99_5_2022_usd,6604303.4047747012,6604303.4047747012,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_02,retained_tvar_99_5_2022_usd,2291051.0901179253,2291051.0901179253,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_03,retained_tvar_99_5_2022_usd,1039872.8597816504,1039872.8597816504,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_04,retained_tvar_99_5_2022_usd,466847.12904006144,466847.12904006144,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
